image,style_id,baseline_edge_ssim,improved_edge_ssim,edge_ssim_delta,baseline_artifact_score,improved_artifact_score,artifact_score_delta,baseline_latency_ms,improved_latency_ms,latency_delta_ms
000000002149.jpg,shinkai,0.1417,0.0931,-0.0486,0.0086,0.0202,0.0116,1407,2635,1228
000000002153.jpg,hayao,0.397,0.4741,0.0771,0.0654,0.0638,-0.0016,974,1885,911
000000002153.jpg,paprika,0.354,0.4932,0.1392,0.0474,0.0477,0.0003,438,1214,776
000000002153.jpg,shinkai,0.0614,0.0874,0.026,0.0194,0.039,0.0196,1690,2741,1051
000000002157.jpg,hayao,0.1876,0.2127,0.0251,0.0455,0.0527,0.0072,960,1730,770
000000002157.jpg,paprika,0.2037,0.2252,0.0215,0.0345,0.0474,0.0129,313,1043,730
000000002157.jpg,shinkai,0.0776,0.0882,0.0106,0.0206,0.0354,0.0148,1495,2736,1241
000000002261.jpg,hayao,0.1613,0.1925,0.0312,0.0433,0.0477,0.0044,912,1765,853
000000002261.jpg,paprika,0.1843,0.2113,0.027,0.037,0.0403,0.0033,464,1002,538
000000002261.jpg,shinkai,0.0408,0.0919,0.0511,0.0149,0.0338,0.0189,1560,2636,1076
000000002299.jpg,hayao,0.1671,0.211,0.0439,0.0766,0.0839,0.0073,682,784,102
000000002299.jpg,paprika,0.1903,0.2341,0.0438,0.0676,0.075,0.0074,196,422,226
000000002299.jpg,shinkai,0.0144,0.0242,0.0098,0.0289,0.0379,0.009,901,1261,360
000000002431.jpg,hayao,0.4638,0.4573,-0.0065,0.0366,0.0433,0.0067,904,1464,560
000000002431.jpg,paprika,0.349,0.3408,-0.0082,0.0239,0.0335,0.0096,380,1099,719
000000002431.jpg,shinkai,0.1736,0.1826,0.009,0.0171,0.0272,0.0101,1532,2747,1215
000000002473.jpg,hayao,0.2048,0.2235,0.0187,0.0418,0.0393,-0.0025,1014,1559,545
000000002473.jpg,paprika,0.1406,0.1649,0.0243,0.0203,0.0215,0.0012,572,932,360
000000002473.jpg,shinkai,0.0466,0.0733,0.0267,0.0097,0.0159,0.0062,1654,2504,850
